President       Date Approve Disapprove    Inaug Days
1         Trump 12/12/2017      36         59  1/20/17  326
2         Trump  12/9/2017      36         59  1/20/17  323
3         Trump  12/6/2017      37         59  1/20/17  320
4         Trump  12/3/2017      35         60  1/20/17  317
5         Trump 11/30/2017      34         60  1/20/17  314
6         Trump 11/27/2017      37         56  1/20/17  311
7         Trump 11/24/2017      38         55  1/20/17  308
8         Trump 11/20/2017      36         57  1/20/17  304
9         Trump 11/17/2017      39         56  1/20/17  301
10        Trump 11/14/2017      37         57  1/20/17  298
11        Trump 11/11/2017      39         55  1/20/17  295
12        Trump  11/8/2017      37         57  1/20/17  292
13        Trump  11/5/2017      37         57  1/20/17  289
14        Trump  11/2/2017      39         57  1/20/17  286
15        Trump 10/30/2017      34         62  1/20/17  283
16        Trump 10/27/2017      36         59  1/20/17  280
17        Trump 10/24/2017      36         59  1/20/17  277
18        Trump 10/21/2017      36         58  1/20/17  274
19        Trump 10/18/2017      36         59  1/20/17  271
20        Trump 10/15/2017      36         59  1/20/17  268
21        Trump 10/12/2017      39         54  1/20/17  265
22        Trump  10/9/2017      36         58  1/20/17  262
23        Trump  10/6/2017      39         56  1/20/17  259
24        Trump  10/3/2017      39         57  1/20/17  256
25        Trump  9/30/2017      38         57  1/20/17  253
26        Trump  9/27/2017      36         59  1/20/17  250
27        Trump  9/24/2017      39         54  1/20/17  247
28        Trump  9/21/2017      38         56  1/20/17  244
29        Trump  9/18/2017      39         55  1/20/17  241
30        Trump  9/15/2017      36         59  1/20/17  238
31        Trump  9/12/2017      37         57  1/20/17  235
32        Trump   9/9/2017      38         56  1/20/17  232
33        Trump   9/6/2017      36         57  1/20/17  229
34        Trump   9/3/2017      38         56  1/20/17  226
35        Trump  8/31/2017      34         61  1/20/17  223
36        Trump  8/28/2017      35         60  1/20/17  220
37        Trump  8/25/2017      35         60  1/20/17  217
38        Trump  8/22/2017      35         59  1/20/17  214
39        Trump  8/19/2017      36         58  1/20/17  211
40        Trump  8/16/2017      37         57  1/20/17  208
41        Trump  8/13/2017      34         61  1/20/17  205
42        Trump  8/10/2017      37         56  1/20/17  202
43        Trump   8/7/2017      37         59  1/20/17  199
44        Trump   8/4/2017      37         55  1/20/17  196
45        Trump   8/1/2017      36         60  1/20/17  193
46        Trump  7/29/2017      38         57  1/20/17  190
47        Trump  7/26/2017      39         55  1/20/17  187
48        Trump  7/23/2017      37         58  1/20/17  184
49        Trump  7/20/2017      37         58  1/20/17  181
50        Trump  7/17/2017      38         56  1/20/17  178
51        Trump  7/14/2017      38         57  1/20/17  175
52        Trump  7/10/2017      40         55  1/20/17  171
53        Trump   7/7/2017      38         56  1/20/17  168
54        Trump   7/3/2017      37         57  1/20/17  164
55        Trump  6/30/2017      38         57  1/20/17  161
56        Trump  6/27/2017      39         56  1/20/17  158
57        Trump  6/24/2017      38         57  1/20/17  155
58        Trump  6/21/2017      39         56  1/20/17  152
