Date,Democrats,Republicans,ElecYear,ElecDay,DaysTilED,DemVote,RepVote
10/7/1990,39,37,1990,11/6/1990,30,52.1,44.3
10/10/1990,39,36,1990,11/6/1990,27,52.1,44.3
10/14/1990,48,39,1990,11/6/1990,23,52.1,44.3
10/14/1990,49,42,1990,11/6/1990,23,52.1,44.3
10/31/1990,45,38,1990,11/6/1990,6,52.1,44.3
11/4/1990,50,42,1990,11/6/1990,2,52.1,44.3
10/4/1992,44,38,1992,11/3/1992,30,50.1,45.1
10/5/1992,50,39,1992,11/3/1992,29,50.1,45.1
10/23/1992,44,36,1992,11/3/1992,11,50.1,45.1
10/25/1992,47,37,1992,11/3/1992,9,50.1,45.1
10/26/1992,50,40,1992,11/3/1992,8,50.1,45.1
10/26/1992,48,37,1992,11/3/1992,8,50.1,45.1
10/28/1992,47,33,1992,11/3/1992,6,50.1,45.1
10/30/1992,45,37,1992,11/3/1992,4,50.1,45.1
10/30/1992,45,35,1992,11/3/1992,4,50.1,45.1
11/1/1992,51,34,1992,11/3/1992,2,50.1,45.1
11/1/1992,48,36,1992,11/3/1992,2,50.1,45.1
11/1/1992,46,36,1992,11/3/1992,2,50.1,45.1
10/9/1994,44,47,1994,11/8/1994,30,44.8,51.9
10/9/1994,46,48,1994,11/8/1994,30,44.8,51.9
10/9/1994,44,43,1994,11/8/1994,30,44.8,51.9
10/11/1994,38,37,1994,11/8/1994,28,44.8,51.9
10/12/1994,35,41,1994,11/8/1994,27,44.8,51.9
10/18/1994,42,38,1994,11/8/1994,21,44.8,51.9
10/19/1994,46,47,1994,11/8/1994,20,44.8,51.9
10/19/1994,40,45,1994,11/8/1994,20,44.8,51.9
10/23/1994,48,41,1994,11/8/1994,16,44.8,51.9
10/23/1994,35,39,1994,11/8/1994,16,44.8,51.9
10/23/1994,51,45,1994,11/8/1994,16,44.8,51.9
10/23/1994,40,44,1994,11/8/1994,16,44.8,51.9
10/24/1994,45,46,1994,11/8/1994,15,44.8,51.9
10/24/1994,39,40,1994,11/8/1994,15,44.8,51.9
10/25/1994,49,45,1994,11/8/1994,14,44.8,51.9
10/25/1994,45,41,1994,11/8/1994,14,44.8,51.9
10/26/1994,41,35,1994,11/8/1994,13,44.8,51.9
10/28/1994,44,46,1994,11/8/1994,11,44.8,51.9
10/30/1994,44,42,1994,11/8/1994,9,44.8,51.9
10/31/1994,47,45,1994,11/8/1994,8,44.8,51.9
10/31/1994,41,39,1994,11/8/1994,8,44.8,51.9
11/1/1994,41,46,1994,11/8/1994,7,44.8,51.9
11/1/1994,45,49,1994,11/8/1994,7,44.8,51.9
11/6/1994,42,38,1994,11/8/1994,2,44.8,51.9
11/6/1994,47,44,1994,11/8/1994,2,44.8,51.9
11/6/1994,47,42,1994,11/8/1994,2,44.8,51.9
11/6/1994,43,41,1994,11/8/1994,2,44.8,51.9
10/6/1996,46,39,1996,11/5/1996,30,48.2,48.2
10/6/1996,41,39,1996,11/5/1996,30,48.2,48.2
10/6/1996,50,42,1996,11/5/1996,30,48.2,48.2
10/7/1996,41,39,1996,11/5/1996,29,48.2,48.2
10/8/1996,51,41,1996,11/5/1996,28,48.2,48.2
10/8/1996,48,38,1996,11/5/1996,28,48.2,48.2
10/8/1996,42,40,1996,11/5/1996,28,48.2,48.2
10/9/1996,41,40,1996,11/5/1996,27,48.2,48.2
10/11/1996,48,36,1996,11/5/1996,25,48.2,48.2
10/11/1996,52,38,1996,11/5/1996,25,48.2,48.2
10/11/1996,53,38,1996,11/5/1996,25,48.2,48.2
10/11/1996,49,36,1996,11/5/1996,25,48.2,48.2
